Date,Price,Open,High,Low,Vol.,Change %
"Jan 03, 2019",506.25,505.38,510.5,503.5,-,-0.52%
"Jan 02, 2019",508.88,497.0,524.0,491.38,-,-0.37%
"Dec 31, 2018",510.75,494.0,513.5,494.0,20.50K,3.55%
"Dec 28, 2018",493.25,505.5,509.5,489.0,44.05K,-2.23%
"Dec 27, 2018",504.5,515.0,515.25,495.75,46.77K,0.05%
"Dec 26, 2018",504.25,494.25,519.75,483.25,29.12K,-1.90%
"Dec 24, 2018",514.0,511.5,518.5,489.5,19.90K,-0.24%
"Dec 21, 2018",515.25,522.5,525.25,505.5,77.35K,-1.29%
"Dec 20, 2018",522.0,534.0,535.5,517.25,64.82K,-3.11%
"Dec 19, 2018",538.75,525.0,542.75,523.5,73.49K,1.60%
"Dec 18, 2018",530.25,545.25,545.25,521.25,62.70K,-3.63%
"Dec 17, 2018",550.25,555.75,561.25,541.5,50.11K,-1.08%
"Dec 14, 2018",556.25,564.0,565.5,552.0,43.83K,-0.22%
"Dec 13, 2018",557.5,557.0,568.5,549.75,64.61K,-2.06%
"Dec 12, 2018",569.25,573.25,577.5,567.5,4.94K,0.00%
"Dec 11, 2018",569.25,565.25,571.75,559.5,28.10K,-0.52%
"Dec 10, 2018",572.25,578.25,579.5,560.5,34.71K,-2.55%
"Dec 07, 2018",587.25,568.5,598.0,559.75,30.94K,5.53%
"Dec 06, 2018",556.5,577.75,583.75,554.5,32.67K,-5.16%
"Dec 05, 2018",586.75,580.5,593.25,572.0,27.47K,-0.09%
"Dec 04, 2018",587.25,581.5,600.0,577.5,45.85K,1.64%
"Dec 03, 2018",577.75,564.0,584.5,564.0,53.17K,4.90%
"Nov 30, 2018",550.75,559.5,566.0,543.75,38.80K,-1.61%
"Nov 29, 2018",559.75,565.75,566.75,553.0,47.17K,-1.10%
"Nov 28, 2018",566.0,582.0,585.0,560.25,63.15K,-2.16%
"Nov 27, 2018",578.5,580.75,587.5,570.75,71.44K,-1.24%
"Nov 26, 2018",585.75,574.25,588.25,573.25,56.53K,1.56%
"Nov 23, 2018",576.75,598.5,600.25,573.0,59.90K,-3.59%
"Nov 22, 2018",598.25,604.25,605.25,595.0,46.39K,-1.28%
"Nov 21, 2018",606.0,607.0,615.0,600.5,117.45K,-1.14%
"Nov 20, 2018",613.0,635.75,636.0,601.75,109.49K,-2.78%
"Nov 19, 2018",630.5,634.5,640.25,626.5,68.73K,-0.43%
"Nov 16, 2018",633.25,635.25,643.25,627.75,84.50K,-0.71%
"Nov 15, 2018",637.75,640.75,645.25,632.5,106.79K,-1.05%
"Nov 14, 2018",644.5,630.5,653.0,625.25,135.37K,0.86%
"Nov 13, 2018",639.0,652.25,656.75,625.5,115.45K,-4.56%
"Nov 12, 2018",669.5,687.0,713.75,670.75,7.81K,0.00%
"Nov 09, 2018",669.5,673.25,684.75,656.25,29.61K,-1.76%
"Nov 08, 2018",681.5,698.25,707.75,670.5,61.09K,-1.62%
"Nov 07, 2018",692.75,681.75,702.0,679.25,49.72K,2.25%
"Nov 06, 2018",677.5,678.25,688.5,674.5,36.12K,-0.66%
"Nov 05, 2018",682.0,674.0,686.25,668.0,38.80K,0.55%
"Nov 02, 2018",678.25,685.0,690.0,671.75,54.72K,-1.09%
